"TAXON","FAMILY","Sample","GENUS","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","DATE","Condition","TAXON_NEW","MANUAL","TAXON_NEW2"
"Crataegus bipinnatifida","Rosaceae",15,"Crataegus",1888,74768,2.52514444682217,165,"B","Crataegus erythropoda",FALSE,"Crataegus erythropoda"
"Cynoglossum amplifolium","Boraginaceae",28,"Cynoglossum",713,71828,0.99264910619814,166,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",29,"Cynoglossum",2431,202110,1.20281035079907,166,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",30,"Cynoglossum",5931,283698,2.09060338810989,155,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",32,"Cynoglossum",1638,134997,1.21336029689549,170,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",36,"Cynoglossum",1239,58361,2.12299309470365,173,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",41,"Cynoglossum",10738,470206,2.28367991901422,179,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum amplifolium","Boraginaceae",65,"Cynoglossum",3899,130796,2.98097801155999,176,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum anchusoides","Boraginaceae",30,"Cynoglossum",6222,283698,2.19317725186642,155,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum anchusoides","Boraginaceae",41,"Cynoglossum",13058,470206,2.7770806837854,179,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum anchusoides","Boraginaceae",46,"Cynoglossum",2560,866711,0.295369506098342,163,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Cynoglossum anchusoides","Boraginaceae",55,"Cynoglossum",9509,464609,2.04666719757904,169,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Pseudognaphalium attenuatum","Asteraceae",10,"Pseudognaphalium",2762,71086,3.88543454407338,165,"B","Pseudognaphalium macounii",FALSE,"Pseudognaphalium macounii"
"Taraxacum officinale","Asteraceae",10,"Taraxacum",2728,71086,3.83760515432012,165,"B","Taraxacum campylodes",FALSE,"Taraxacum campylodes"
"Pseudognaphalium attenuatum","Asteraceae",12,"Pseudognaphalium",1990,59478,3.34577490836948,186,"B","Pseudognaphalium macounii",FALSE,"Pseudognaphalium macounii"
"Cynoglossum pringlei","Boraginaceae",12,"Cynoglossum",1825,59478,3.06836141094186,186,"B","Cynoglossum officinale",FALSE,"Cynoglossum officinale"
"Agastache pallidiflora","Lamiaceae",12,"Agastache",1339,59478,2.25125256397323,186,"B","Agastache urticifolia",FALSE,"Agastache urticifolia"
"Taraxacum officinale","Asteraceae",12,"Taraxacum",1009,59478,1.69642556911799,186,"B","Taraxacum campylodes",FALSE,"Taraxacum campylodes"
"Symphyotrichum foliaceum","Asteraceae",14,"Symphyotrichum",2087,69233,3.01445842300637,165,"B","Symphyotrichum eatonii",FALSE,"Symphyotrichum eatonii"
"Taraxacum officinale","Asteraceae",14,"Taraxacum",1671,69233,2.41358889546892,165,"B","Taraxacum campylodes",FALSE,"Taraxacum campylodes"
"Nemophila menziesii","Boraginaceae",14,"Nemophila",543,69233,0.784308061184695,165,"B","Nemophila breviflora",FALSE,"Nemophila breviflora"
